"","sample_id","sample_no","sample_type","sample_env","sample_site","n_reads"
"CC-VN-A-bac","CC-VN-A-bac","S1","spider","desert","CC",75328
"CC-VN-B-bac","CC-VN-B-bac","S2","spider","desert","CC",99276
"CC-VN-C-bac","CC-VN-C-bac","S3","spider","desert","CC",145128
"CC-W-A-bac","CC-W-A-bac","S4","web","desert","CC",18243
"CC-W-B-bac","CC-W-B-bac","S5","web","desert","CC",25517
"CC-W-C-bac","CC-W-C-bac","S6","web","desert","CC",27755
"DM-VN-109-bac","DM-VN-109-bac","S7","spider","desert","DM",46954
"DM-VN-111-bac","DM-VN-111-bac","S8","spider","desert","DM",90038
"DM-VN-112-bac","DM-VN-112-bac","S9","spider","desert","DM",83191
"DM-VN-113-bac","DM-VN-113-bac","S10","spider","desert","DM",48166
"DM-W-109-bac","DM-W-109-bac","S11","web","desert","DM",24000
"DM-W-111-bac","DM-W-111-bac","S12","web","desert","DM",27449
"DM-W-112-bac","DM-W-112-bac","S13","web","desert","DM",25743
"DM-W-113-bac","DM-W-113-bac","S14","web","desert","DM",22003
"LO-VN-114-bac","LO-VN-114-bac","S15","spider","urban","LO",18103
"LO-VN-115-bac","LO-VN-115-bac","S16","spider","urban","LO",360
"LO-VN-116-bac","LO-VN-116-bac","S17","spider","urban","LO",1536
"LO-VN-118-bac","LO-VN-118-bac","S18","spider","urban","LO",128638
"LO-W-114-bac","LO-W-114-bac","S19","web","urban","LO",74210
"LO-W-115-bac","LO-W-115-bac","S20","web","urban","LO",22875
"LO-W-116-bac","LO-W-116-bac","S21","web","urban","LO",17832
"LO-W-118-bac","LO-W-118-bac","S22","web","urban","LO",33770
"PCR-neg-CTRL-bac","PCR-neg-CTRL-bac","S23","control","control","control",784
"UA-VN-G-bac","UA-VN-G-bac","S24","spider","urban","UA",85963
"UA-VN-I-bac","UA-VN-I-bac","S25","spider","urban","UA",106
"UA-VN-J-bac","UA-VN-J-bac","S26","spider","urban","UA",111339
"UA-W-G-bac","UA-W-G-bac","S27","web","urban","UA",23277
"UA-W-I-bac","UA-W-I-bac","S28","web","urban","UA",21265
"UA-W-J-bac","UA-W-J-bac","S29","web","urban","UA",18447
