"","sample_id","sample_no","sample_type","sample_env","sample_site","n_reads"
"CC-VN-A-bac","CC-VN-A-bac","S1","spider","desert","CC",75118
"CC-VN-B-bac","CC-VN-B-bac","S2","spider","desert","CC",98969
"CC-VN-C-bac","CC-VN-C-bac","S3","spider","desert","CC",144426
"CC-W-A-bac","CC-W-A-bac","S4","web","desert","CC",18070
"CC-W-B-bac","CC-W-B-bac","S5","web","desert","CC",21452
"CC-W-C-bac","CC-W-C-bac","S6","web","desert","CC",27295
"DM-VN-109-bac","DM-VN-109-bac","S7","spider","desert","DM",46820
"DM-VN-111-bac","DM-VN-111-bac","S8","spider","desert","DM",89807
"DM-VN-112-bac","DM-VN-112-bac","S9","spider","desert","DM",83195
"DM-VN-113-bac","DM-VN-113-bac","S10","spider","desert","DM",48053
"DM-W-109-bac","DM-W-109-bac","S11","web","desert","DM",23535
"DM-W-111-bac","DM-W-111-bac","S12","web","desert","DM",25968
"DM-W-112-bac","DM-W-112-bac","S13","web","desert","DM",25486
"DM-W-113-bac","DM-W-113-bac","S14","web","desert","DM",20418
"LO-VN-114-bac","LO-VN-114-bac","S15","spider","urban","LO",18022
"LO-VN-115-bac","LO-VN-115-bac","S16","spider","urban","LO",359
"LO-VN-116-bac","LO-VN-116-bac","S17","spider","urban","LO",1528
"LO-VN-118-bac","LO-VN-118-bac","S18","spider","urban","LO",127968
"LO-W-114-bac","LO-W-114-bac","S19","web","urban","LO",73891
"LO-W-115-bac","LO-W-115-bac","S20","web","urban","LO",22695
"LO-W-116-bac","LO-W-116-bac","S21","web","urban","LO",17775
"LO-W-118-bac","LO-W-118-bac","S22","web","urban","LO",33602
"PCR-neg-CTRL-bac","PCR-neg-CTRL-bac","S23","control","control","control",781
"UA-VN-G-bac","UA-VN-G-bac","S24","spider","urban","UA",250
"UA-VN-I-bac","UA-VN-I-bac","S25","spider","urban","UA",106
"UA-VN-J-bac","UA-VN-J-bac","S26","spider","urban","UA",111032
"UA-W-G-bac","UA-W-G-bac","S27","web","urban","UA",23064
"UA-W-I-bac","UA-W-I-bac","S28","web","urban","UA",20919
"UA-W-J-bac","UA-W-J-bac","S29","web","urban","UA",18077
