"","CC-VN-A-bac","CC-VN-B-bac","CC-VN-C-bac","CC-W-A-bac","CC-W-B-bac","CC-W-C-bac","DM-VN-109-bac","DM-VN-111-bac","DM-VN-112-bac","DM-VN-113-bac","DM-W-109-bac","DM-W-111-bac","DM-W-112-bac","DM-W-113-bac","LO-VN-114-bac","LO-VN-115-bac","LO-VN-116-bac","LO-VN-118-bac","LO-W-114-bac","LO-W-115-bac","LO-W-116-bac","LO-W-118-bac","UA-VN-G-bac","UA-VN-I-bac","UA-VN-J-bac","UA-W-G-bac","UA-W-I-bac","UA-W-J-bac"
"ASV1",75107,72814,79,358,0,0,41666,89214,67235,22827,49,5,0,0,529,285,861,120077,6255,20,106,0,39,9,100671,0,0,0
"ASV2",0,0,121474,0,9,0,14,12,42,699,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,151
"ASV3",0,0,0,0,30,3,85,0,0,0,309,3,0,0,17200,0,0,0,64192,190,441,0,0,0,0,0,0,0
"ASV4",0,19050,0,0,0,0,0,0,0,2608,0,0,0,0,0,63,0,0,0,0,0,0,0,0,4375,0,0,0
"ASV5",0,0,22764,0,0,0,0,0,0,3016,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,23
"ASV6",0,0,0,0,275,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,24818,0,0,0,0,0,0
"ASV7",0,0,0,0,451,0,0,0,0,16183,0,0,0,9,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV8",0,0,0,0,0,0,0,0,11525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7617,0,0,0,0,0,0,0,0,0,0
"ASV10",0,0,0,53,0,3420,0,0,0,0,1024,796,1478,349,0,0,0,0,0,174,41,29,0,0,0,40,112,32
"ASV11",0,6905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV12",0,0,15,0,0,33,0,0,0,0,35,68,0,0,0,0,0,0,0,0,0,21,0,0,0,3006,1550,1374
"ASV13",0,0,0,163,0,822,0,0,0,0,478,306,283,53,0,0,0,0,0,642,0,477,0,0,0,515,204,128
"ASV14",0,0,0,0,180,482,0,0,0,0,0,0,2081,159,0,0,0,0,0,221,272,0,0,0,0,58,31,0
"ASV15",0,0,0,0,0,1052,0,0,0,0,66,2085,0,83,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"ASV16",0,0,0,0,0,0,2141,0,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV17",0,0,0,0,0,0,0,0,0,0,57,18,20,0,0,0,0,0,0,14,2547,0,0,0,0,154,100,80
"ASV18",0,0,0,0,306,158,0,0,0,0,81,0,385,68,0,0,0,0,0,1375,0,89,0,0,0,167,202,144
"ASV19",0,0,0,0,0,0,2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV20",0,0,0,0,1400,37,0,0,0,0,69,66,676,53,0,0,0,0,0,282,49,0,0,0,0,136,66,0
"ASV21",0,0,0,123,0,1156,0,0,0,0,153,127,181,121,0,0,0,0,0,278,0,0,0,0,0,412,62,67
"ASV22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,14,0,0,0,2463,144,32
"ASV23",0,0,0,36,0,117,0,0,0,0,55,222,80,57,0,0,0,0,0,815,334,100,0,0,0,269,158,121
"ASV24",0,0,0,0,1602,50,0,0,0,0,96,0,0,0,0,0,0,0,0,419,0,0,0,0,0,44,0,30
"ASV25",0,0,0,49,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,125,733,182,0,0,0,452,358,176
"ASV26",0,0,0,93,0,89,0,0,0,0,11,27,0,39,0,0,0,0,0,681,203,40,0,0,0,538,73,122
"ASV27",0,0,0,0,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV28",0,0,0,0,0,1748,0,0,0,0,0,0,37,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV29",0,0,0,322,37,432,0,0,0,0,165,420,136,101,0,0,0,0,4,0,0,0,0,0,0,218,0,48
"ASV30",0,0,0,0,0,685,0,0,0,0,33,634,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,23,0,0,0,942,149,375
"ASV32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,0,0,0
"ASV33",0,0,0,0,0,85,0,0,0,0,605,745,26,109,0,0,0,0,0,0,0,0,0,0,0,20,20,9
"ASV34",0,0,0,0,0,38,0,0,0,0,606,889,0,38,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"ASV35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568,0,0,0
"ASV36",0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,1056,208
"ASV37",0,0,0,0,0,32,0,0,0,0,0,27,0,0,0,0,0,0,0,42,108,0,0,0,0,652,391,301
"ASV38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,545,720,246
"ASV39",0,0,0,0,0,0,0,0,0,0,1289,0,0,0,0,0,0,0,0,0,178,0,0,0,0,13,23,10
