"","domain","phylum","class","order","family","genus","species"
"ASV1","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"ASV2","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"ASV3",NA,NA,NA,NA,NA,NA,NA
"ASV4","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","unclassified_Lactococcus"
"ASV5","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"ASV6","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"ASV7","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","unclassified_Enterobacterales","unclassified_Enterobacterales","unclassified_Enterobacterales"
"ASV8","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","unclassified_Enterococcus"
"ASV9","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"ASV10","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"ASV11","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus","unclassified_Kineococcus"
"ASV12","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"ASV13","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","unclassified_Kocuria"
"ASV14","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus","unclassified_Kineococcus"
"ASV15","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum","unclassified_Methylobacterium-Methylorubrum"
"ASV16","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","unclassified_Rhizobiaceae","unclassified_Rhizobiaceae"
"ASV17","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"ASV18","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","unclassified_Kocuria"
"ASV19","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Modestobacter","unclassified_Modestobacter"
"ASV20","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"ASV21","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Modestobacter","unclassified_Modestobacter"
"ASV22","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus","unclassified_Kineococcus"
"ASV23","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","unclassified_Kocuria"
"ASV24","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","unclassified_Blastococcus"
"ASV25","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Modestobacter","unclassified_Modestobacter"
"ASV26","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus","unclassified_Geodermatophilus"
"ASV27","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","unclassified_Skermanella"
"ASV28","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","unclassified_Microbacteriaceae","unclassified_Microbacteriaceae"
"ASV29","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV30","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus","unclassified_Kineococcus"
"ASV31","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","unclassified_Pseudonocardiaceae","unclassified_Pseudonocardiaceae"
"ASV32","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","unclassified_Kocuria"
"ASV33","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"ASV34","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV35","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","unclassified_Oxalobacteraceae","unclassified_Oxalobacteraceae"
"ASV36","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
