"","sample_id","sample_no","sample_type","sample_env","sample_site","n_reads"
"CC-VN-A-bac","CC-VN-A-bac","S1","spider","desert","CC",75118
"CC-VN-B-bac","CC-VN-B-bac","S2","spider","desert","CC",98969
"CC-VN-C-bac","CC-VN-C-bac","S3","spider","desert","CC",144430
"CC-W-A-bac","CC-W-A-bac","S4","web","desert","CC",18225
"CC-W-B-bac","CC-W-B-bac","S5","web","desert","CC",25439
"CC-W-C-bac","CC-W-C-bac","S6","web","desert","CC",27686
"DM-VN-109-bac","DM-VN-109-bac","S7","spider","desert","DM",46821
"DM-VN-111-bac","DM-VN-111-bac","S8","spider","desert","DM",89807
"DM-VN-112-bac","DM-VN-112-bac","S9","spider","desert","DM",83227
"DM-VN-113-bac","DM-VN-113-bac","S10","spider","desert","DM",48061
"DM-W-109-bac","DM-W-109-bac","S11","web","desert","DM",23910
"DM-W-111-bac","DM-W-111-bac","S12","web","desert","DM",27364
"DM-W-112-bac","DM-W-112-bac","S13","web","desert","DM",25890
"DM-W-113-bac","DM-W-113-bac","S14","web","desert","DM",21989
"LO-VN-114-bac","LO-VN-114-bac","S15","spider","urban","LO",18057
"LO-VN-115-bac","LO-VN-115-bac","S16","spider","urban","LO",359
"LO-VN-116-bac","LO-VN-116-bac","S17","spider","urban","LO",1528
"LO-VN-118-bac","LO-VN-118-bac","S18","spider","urban","LO",128289
"LO-W-114-bac","LO-W-114-bac","S19","web","urban","LO",73939
"LO-W-115-bac","LO-W-115-bac","S20","web","urban","LO",22819
"LO-W-116-bac","LO-W-116-bac","S21","web","urban","LO",17816
"LO-W-118-bac","LO-W-118-bac","S22","web","urban","LO",33684
"PCR-neg-CTRL-bac","PCR-neg-CTRL-bac","S23","control","control","control",781
"UA-VN-G-bac","UA-VN-G-bac","S24","spider","urban","UA",85727
"UA-VN-I-bac","UA-VN-I-bac","S25","spider","urban","UA",106
"UA-VN-J-bac","UA-VN-J-bac","S26","spider","urban","UA",111034
"UA-W-G-bac","UA-W-G-bac","S27","web","urban","UA",23188
"UA-W-I-bac","UA-W-I-bac","S28","web","urban","UA",21190
"UA-W-J-bac","UA-W-J-bac","S29","web","urban","UA",18393
