"","domain","phylum","class","order","family","genus","species"
"1","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"2","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"3","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"4","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"5","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","unclassified_Lactococcus"
"6","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","unclassified_Enterococcus"
"7","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"8","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"9","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"10","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"11","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"12","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"13","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"14","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"15","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"16","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"17","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"18","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"19","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"20","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"21","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"22","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"23","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"24","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"25","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"26","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","unclassified_Pseudonocardia"
"27","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","unclassified_Corynebacterium"
"28","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"29","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","unclassified_Pseudonocardia"
"30","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"31","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"32","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"33","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"34","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"35","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"36","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"37","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"38","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","unclassified_Campylobacter"
"39","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"40","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"41","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"42","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera","unclassified_Rheinheimera"
"43","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"44","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"45","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","unclassified_Acetobacteraceae","unclassified_Acetobacteraceae"
"46","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","unclassified_Pseudonocardia"
